###===================== LOAD TEXTURES ===================###
# Id	FilePath			R	G	B
[TEXTURES]
40	Resources/Enemy/enemies.png	255	0	255
50	Resources/item.png	255	255	0
60	Resources/item2.png	255	255	0
70	Resources/Enemy/OrbEzsFinal.png	255	0	255
# id	left	top	right	bottom	texture_id


###===================== LOAD SPRITE ===================###

[SPRITES]

##----------------------------------------MAP---------------------------------------##

#1000	0	0	512	120	11

##--------------------------------ENEMY AREA2---------------------------------##

#Con rết(Centipede)
#Walk 
4001	168	411	186	421	40
4002	187	411	204	421	40
#brick breaker
4003	70	33	102	49	60

#Golem
#Walk
5000	148	499	163	524	40
5001	166	499	181	524	40
5002	148	499	163	524	40
5003	128	499	145	524	40


#DOMMER
#walk top right
7000	145	478	163	495	40
7001	165	478	183	495	40
#walk top left
7002	63	478	81	494	40
7003	83	478	101	495	40
#walk right top
7004	47	440	63	458	40
7005	46	460	63	478	40
#walk right bottom
7006	128	440	145	458	40
7007	129	460	145	478	40
#Attack Left Right
7008	128	440	145	458	40
#Attack Top Bottom
7009	145	478	163	495	40


#FLOATERS
#Fly
8000	80	406	98	421	40
#Shot
8001	100	405	118	421	40

#INSECT
#Fly Left
9000	80	532	98	547	40
9001	100	532	118	547	40
#DOWN
9002	100	529	118	547	40
#bang
900000	203	155	221	173	60
900001	253	155	278	173	60
900002	303	155	321	173	60
#ORBS
10000	114	386	132	404	40
10001	94	386	114	404	40
10002	74	386	92	404	40
10003	54	386	72	404	40
10004	154	386	172	404	40
10005	134	386	152	404	40

#SKULLS
#right
11000	170	526	188	547	40
#Attack
11001	190	526	208	547	40
11002	170	526	188	547	40

#OrbEz
#Fly Right 
12000	28	29	46	47	70
#Collision Wall Right In Front of
12001	163	9	181	27	70
#12002	143	9	161	27	70
12003	183	9	201	27	70
12004	123	9	141	27	70
#12005	103	9	121	27	70
12006	83	9	101	27	70
12007	216	28	234	46	70
#Fly Right Behind
12008	83	50	101	68	70
#12009	103	50	121	68	70
#12010	63	50	81	68	70
12011	123	50	141	68	70
#12012	143	50	164	68	70
12013	163	50	181	68	70
12014	216	28	234	46	70
#Rotate Right 360 
12015	163	9	181	27	70
#12016	143	9	161	27	70
12017	183	9	201	27	70
12018	123	9	141	27	70
12019	83	9	101	27	70
12020	163	50	181	68	70
12021	123	50	141	68	70
12022	83	50	101	68	70
12023	28	29	46	47	70

#MINES
#Ready
13000	10	391	26	400	40
13001	33	391	49	400	40




#ENEMY DIE
90000	176	94	183	102	50
90001	192	91	208	104	50
90002	213	90	229	106	50

##----------------------------ENEMY OVERWORLD-----------------------------##
#EyeBall
#fly
20000	98	549	114	565	40
20001	132	549	148	565	40
#Attack
20002	115	549	131	565	40


##--------------------------------BULLET ENEMY---------------------------------##

#BulletFloater
100000	359	161	365	167	60

#BulletSkulls
100200	47	514	57	524	40

#BulletMines
100300	359	161	365	167	60

#bang
100100	176	94	183	102	50
100101	192	91	208	104	50
100102	213	90	229	106	50

###================ LOAD ANIMATIONS ==================###

# ani_id	sprite1_id	time1	sprite2_id	time2	...

[ANIMATIONS]
##:::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::MAP:::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::##
#map
100	1000	100

##::::::::::::::::::::::::::::::::::::::::::::::::::::ENEMY AREA2::::::::::::::::::::::::::::::::::::::::::::::::::::::::##
#Walk centipede
400	4001	100	4002	100

#Walk Golem
500	5000	250	5001	250	5002	250	5003	250

#DOMES
#walk top right
700	7000	100	7001	100
#walk top left
701	7002	100	7003	100
#walk right top
702	7004	100	7005	100
#walk right bottom
703	7006	100	7007	100
#Attack Left Right
704	7008	100
#Attack Top Bottom
705	7009	100

#FLOATERS
#Fly
800	8000	100
#Shot
801	8001	100

#INSECT
#Fly Right
900	9000	50	9001	50
#DOWN
901	9002	100000

#ORBS
1000	10000	100	10001	100	10002	100	10003	100	10004	100	10005	100

#SKULLS
#right
1100	11000	100
#Attack
1101	11001	50	11002	50

#ORBEZ
#Fly Right 
1200	12000	100
